iter	Logloss
220	0.2750375825
221	0.2750357365
222	0.2750296898
223	0.2750295858
224	0.2750228514
225	0.2750223414
226	0.275017512
227	0.2750108264
228	0.2750002521
229	0.274993249
230	0.2749931732
231	0.2749931403
232	0.2749927846
233	0.2749917561
234	0.2749915237
235	0.2749916508
236	0.2749875141
237	0.274979297
238	0.2749670058
239	0.274956082
240	0.2749560441
241	0.2749524683
242	0.2749522042
243	0.2749523475
244	0.2749500754
245	0.2749483975
246	0.2749479516
247	0.2749410582
248	0.2749253873
249	0.2749138158
250	0.2749067775
251	0.2748907212
252	0.2748877378
253	0.2748871665
254	0.2748838103
255	0.2748837767
256	0.2748818385
257	0.2748800039
258	0.2748796748
259	0.2748790769
260	0.2748774186
261	0.2748774222
262	0.274872698
263	0.2748629034
264	0.2748568728
265	0.2748530593
266	0.2748527905
267	0.2748529738
268	0.2748517807
269	0.2748516863
270	0.2748517817
271	0.2748519845
272	0.2748519172
273	0.2748520226
274	0.2748483692
275	0.2748418729
276	0.2748390158
277	0.2748386472
278	0.2748384193
279	0.2748254315
280	0.2748184777
281	0.2748161768
282	0.2748138746
283	0.2748120144
284	0.2748089496
285	0.2748076006
286	0.2748047238
287	0.2748048545
288	0.2748048545
289	0.274804967
290	0.2748040686
291	0.2747963172
292	0.2747947878
293	0.2747949007
294	0.2747947203
295	0.2747912135
296	0.2747912943
297	0.2747912698
298	0.2747893073
299	0.2747853883
300	0.2747825883
301	0.2747825457
302	0.2747821584
303	0.2747817631
304	0.274781487
305	0.2747812347
306	0.2747705964
307	0.2747623857
308	0.2747577433
309	0.2747511687
310	0.2747430267
311	0.2747399581
312	0.2747344584
313	0.2747288384
314	0.274727056
315	0.2747275174
316	0.2747273572
317	0.2747272929
318	0.2747264329
319	0.2747265367
320	0.2747242167
321	0.2747195064
322	0.2747118983
323	0.2747045336
324	0.274700611
325	0.2746964979
326	0.2746915714
327	0.2746880643
328	0.274684388
329	0.2746798786
330	0.2746781346
331	0.2746732179
332	0.2746713867
333	0.274669806
334	0.2746697387
335	0.2746697481
336	0.2746696702
337	0.2746690857
338	0.2746693322
339	0.2746659291
340	0.2746610429
341	0.2746555642
342	0.2746513143
343	0.2746515291
344	0.2746515989
345	0.2746513563
346	0.2746512068
347	0.2746512068
348	0.2746512068
349	0.2746512068
350	0.2746512068
351	0.2746510682
352	0.2746510682
353	0.2746510914
354	0.2746509257
355	0.2746509257
356	0.2746509257
357	0.2746509257
358	0.2746509257
359	0.2746509257
360	0.2746509257
361	0.2746509257
362	0.2746509257
363	0.2746509257
364	0.2746509257
365	0.2746509257
366	0.2746509257
367	0.2746509257
368	0.2746509257
369	0.2746509257
370	0.2746509257
371	0.2746509257
372	0.2746509257
373	0.2746509257
374	0.2746509257
375	0.2746509257
376	0.2746509257
377	0.2746509257
378	0.2746509257
379	0.2746509257
380	0.2746509257
381	0.2746509257
382	0.2746509257
383	0.2746509257
384	0.2746509257
385	0.2746509257
386	0.2746509257
387	0.2746509257
388	0.2746509257
389	0.2746509257
390	0.2746509257
391	0.2746509257
392	0.2746509257
393	0.2746509257
394	0.2746509257
395	0.2746509257
396	0.2746509257
397	0.2746509257
398	0.2746509257
399	0.2746509257
400	0.2746509257
401	0.2746509257
402	0.2746509257
403	0.2746509257
404	0.2746509257
405	0.2746509257
406	0.2746509257
407	0.2746509257
408	0.2746509257
409	0.2746509257
410	0.2746509257
411	0.2746509257
412	0.2746509257
413	0.2746509257
414	0.2746509257
415	0.2746509257
416	0.2746509257
417	0.2746509257
418	0.2746509257
419	0.2746509257
420	0.2746509257
421	0.2746509257
422	0.2746509257
423	0.2746509257
424	0.2746509257
425	0.2746509257
426	0.2746509257
427	0.2746509257
428	0.2746509257
429	0.2746509257
430	0.2746507835
431	0.2746507835
432	0.2746507835
433	0.2746507835
434	0.2746507835
435	0.2746507835
436	0.274651173
437	0.2746515793
438	0.2746477917
439	0.2746459323
440	0.2746407997
441	0.2746330081
442	0.2746305438
443	0.274619022
444	0.2746120816
445	0.2746049574
446	0.2746048797
447	0.2746047198
448	0.2746049082
449	0.274604701
450	0.2746047076
451	0.274604029
452	0.27460218
453	0.27460218
454	0.27460218
455	0.2746019809
456	0.2746022038
457	0.2746025616
458	0.2746006548
459	0.2745999163
460	0.2745987675
461	0.2745988296
462	0.2745989659
463	0.274597764
464	0.2745975882
465	0.2745968902
466	0.2745931266
467	0.2745933857
468	0.2745928412
469	0.2745926147
470	0.2745912773
471	0.2745856149
472	0.2745804465
473	0.2745810907
474	0.274578745
475	0.2745726835
476	0.2745724133
477	0.274572663
478	0.2745720332
479	0.2745722851
480	0.2745724175
481	0.2745723852
482	0.2745680399
483	0.2745668187
484	0.2745665455
485	0.2745664367
486	0.2745660927
487	0.2745661804
488	0.2745663861
489	0.2745602207
490	0.274553788
491	0.2745542322
492	0.2745509307
493	0.2745507491
494	0.2745512901
495	0.2745460921
496	0.2745455396
497	0.2745440034
498	0.2745439316
499	0.2745439316
